# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	379383
#@/user_id	1ce8a279-56fe-406e-b0d5-b1f889d2d1cd
bai jin 	白金	c=1 d=8.64799e-233 t=379383
bai jin ka 	白金卡	c=1 d=0 t=379383
bai jiu 	擺酒	c=1 d=0 t=379383
bai jiu 	白酒	c=1 d=3.16455e-53 t=379383
bai kai 	掰開	c=1 d=9.74331e-283 t=379383
bai kan bu yan 	百看不厭	c=1 d=3.58712e-57 t=379383
bai ke 	百科	c=1 d=8.03202e-11 t=379383
bai le 	百了	c=0 d=1.72479e-61 t=379383
bai le 	百樂	c=1 d=9.19451e-13 t=379383
bai le fo leng 	百了佛冷	c=1 d=1.73344e-60 t=379383
bai li 	百利	c=2 d=5.86486e-39 t=379383
bai lian 	白練	c=1 d=6.79712e-47 t=379383
bai mang 	百忙	c=1 d=1.22951e-254 t=379383
bai mang zhi zhong 	百忙之中	c=1 d=7.82787e-61 t=379383
bai meng meng 	白濛濛	c=1 d=3.83887e-149 t=379383
bai ming 	擺明	c=3 d=9.76046e-98 t=379383
bai nian 	百年	c=0 d=1.15184e-17 t=379383
bai nian gu du 	百年孤獨	c=1 d=1.15761e-16 t=379383
bai pai 	擺拍	c=1 d=3.96654e-34 t=379383
bai pi 	白皮	c=1 d=2.11025e-80 t=379383
bai piao 	白嫖	c=3 d=7.45371e-73 t=379383
bai qi 	白旗	c=1 d=2.86438e-57 t=379383
bai ren 	拜仁	c=1 d=2.14003e-39 t=379383
bai ren 	白人	c=2 d=3.42307e-35 t=379383
bai ri meng 	白日夢	c=1 d=0 t=379383
bai ri meng xiang jia 	白日夢想家	c=2 d=1.44082e-120 t=379383
bai se 	白色	c=21 d=2.71256e-34 t=379383
bai se jia fa 	白色假髮	c=1 d=2.94039e-71 t=379383
bai she 	白蛇	c=2 d=0 t=379383
bai shi 	白石	c=0 d=9.1577e-55 t=379383
bai shi 	百事	c=1 d=0 t=379383
bai shi zhou 	白石州	c=6 d=5.01913e-05 t=379383
bai shi zhou 	白石洲	c=1 d=1.84419e-24 t=379383
